id,scenario,system,specificity,actionability,relevance,helpfulness,groundedness
input_001,interview,baseline,4,4,3,3,4
input_001,interview,bm25_rag,4,4,3,4,4
input_001,interview,dense_rag,3,4,3,3,4
input_001,interview,tag_bm25_rag,3,4,3,3,4
input_001,interview,tag_dense_rag,4,4,4,4,3
input_002,interview,baseline,4,5,5,5,5
input_002,interview,bm25_rag,4,4,4,4,4
input_002,interview,dense_rag,4,4,4,4,4
input_002,interview,tag_bm25_rag,4,4,3,3,4
input_002,interview,tag_dense_rag,4,4,3,3,4
input_003,interview,baseline,4,4,4,4,4
input_003,interview,bm25_rag,4,4,3,4,4
input_003,interview,dense_rag,4,4,3,4,4
input_003,interview,tag_bm25_rag,4,4,3,3,4
input_003,interview,tag_dense_rag,4,4,3,4,4
input_004,interview,baseline,4,4,4,4,4
input_004,interview,bm25_rag,4,4,4,4,4
input_004,interview,dense_rag,4,5,4,4,4
input_004,interview,tag_bm25_rag,4,4,4,4,4
input_004,interview,tag_dense_rag,4,4,4,4,4
input_005,interview,baseline,4,4,4,4,4
input_005,interview,bm25_rag,4,4,4,4,4
input_005,interview,dense_rag,4,4,3,3,4
input_005,interview,tag_bm25_rag,4,4,4,4,4
input_005,interview,tag_dense_rag,4,4,3,3,4
input_006,interview,baseline,4,4,4,3,3
input_006,interview,bm25_rag,4,4,4,4,4
input_006,interview,dense_rag,4,4,4,4,4
input_006,interview,tag_bm25_rag,4,4,3,4,4
input_006,interview,tag_dense_rag,4,4,4,4,4
input_007,presentation,baseline,4,4,4,4,3
input_007,presentation,bm25_rag,3,4,3,3,4
input_007,presentation,dense_rag,3,4,3,4,4
input_007,presentation,tag_bm25_rag,4,4,3,4,4
input_007,presentation,tag_dense_rag,3,4,3,3,4
input_008,presentation,baseline,4,4,3,3,3
input_008,presentation,bm25_rag,4,4,3,3,4
input_008,presentation,dense_rag,3,4,3,3,3
input_008,presentation,tag_bm25_rag,3,4,3,3,3
input_008,presentation,tag_dense_rag,4,4,3,4,4
input_009,presentation,baseline,4,3,3,3,3
input_009,presentation,bm25_rag,3,4,4,4,4
input_009,presentation,dense_rag,3,4,3,4,4
input_009,presentation,tag_bm25_rag,4,4,4,4,4
input_009,presentation,tag_dense_rag,3,3,3,3,3
input_010,interview,baseline,4,4,4,4,4
input_010,interview,bm25_rag,4,4,4,4,4
input_010,interview,dense_rag,3,4,4,4,4
input_010,interview,tag_bm25_rag,4,5,5,5,5
input_010,interview,tag_dense_rag,4,4,4,4,4
input_011,interview,baseline,3,3,3,3,2
input_011,interview,bm25_rag,4,3,3,3,4
input_011,interview,dense_rag,4,4,3,3,4
input_011,interview,tag_bm25_rag,4,4,3,3,3
input_011,interview,tag_dense_rag,4,4,3,3,4
input_012,interview,baseline,4,4,3,3,4
input_012,interview,bm25_rag,4,4,3,3,3
input_012,interview,dense_rag,4,3,3,3,3
input_012,interview,tag_bm25_rag,4,4,3,4,4
input_012,interview,tag_dense_rag,3,3,3,3,3
input_013,elevator_pitch,baseline,4,4,3,3,4
input_013,elevator_pitch,bm25_rag,4,4,4,4,4
input_013,elevator_pitch,dense_rag,3,4,3,3,4
input_013,elevator_pitch,tag_bm25_rag,4,4,4,4,4
input_013,elevator_pitch,tag_dense_rag,4,4,3,4,4
input_014,elevator_pitch,baseline,4,4,4,4,3
input_014,elevator_pitch,bm25_rag,3,4,3,3,4
input_014,elevator_pitch,dense_rag,4,4,4,3,4
input_014,elevator_pitch,tag_bm25_rag,4,4,4,4,4
input_014,elevator_pitch,tag_dense_rag,4,4,4,4,4
input_015,elevator_pitch,baseline,4,4,4,4,4
input_015,elevator_pitch,bm25_rag,4,4,4,4,3
input_015,elevator_pitch,dense_rag,4,4,4,4,4
input_015,elevator_pitch,tag_bm25_rag,4,4,3,4,4
input_015,elevator_pitch,tag_dense_rag,4,4,4,4,4
input_016,presentation,baseline,4,4,3,4,4
input_016,presentation,bm25_rag,4,4,4,4,4
input_016,presentation,dense_rag,3,4,4,4,4
input_016,presentation,tag_bm25_rag,3,4,3,4,4
input_016,presentation,tag_dense_rag,4,4,3,3,4
input_017,presentation,baseline,4,3,3,3,3
input_017,presentation,bm25_rag,3,4,3,4,4
input_017,presentation,dense_rag,4,4,3,3,4
input_017,presentation,tag_bm25_rag,3,4,3,3,4
input_017,presentation,tag_dense_rag,3,4,3,4,4
input_018,presentation,baseline,4,4,3,4,3
input_018,presentation,bm25_rag,3,4,3,4,4
input_018,presentation,dense_rag,3,4,3,3,4
input_018,presentation,tag_bm25_rag,3,4,3,3,4
input_018,presentation,tag_dense_rag,3,4,3,4,4
